observation_id,observed_at,species_common_name,species_category,habitat_type,observer_id,latitude,longitude,image_count,abundance_count,season,habitat_quality_score,human_disturbance_score,species_confidence_pct
OBS-0057,2025-06-15,Hibiscus,Plants,Urban Forest Patches,OBS001,18.407898,73.811159,4,6,Summer,62.0,29.2,95.4
OBS-0058,2025-10-13,Asian Koel,Birds,Parks & Gardens,OBS002,18.416426,73.752944,0,10,Autumn,52.3,72.0,59.7
OBS-0059,2025-12-31,Dragonfly,Insects,Lakes & Water Bodies,OBS003,18.450193,73.887603,3,1,Winter,89.7,7.3,65.6
OBS-0060,2025-02-22,Pond Heron,Birds,Residential Areas,OBS004,18.488855,73.925129,0,11,Winter,75.0,7.9,55.2
OBS-0061,2025-01-19,House Sparrow,Birds,Urban Forest Patches,OBS005,18.390312,73.808694,4,3,Winter,86.8,9.6,90.2
OBS-0062,2025-12-05,Common Myna,Birds,Residential Areas,OBS006,18.488901,73.939907,4,10,Winter,37.4,21.1,60.5
OBS-0063,2025-07-04,Purple Sunbird,Birds,Parks & Gardens,OBS007,18.540911,73.885067,0,10,Monsoon,44.5,63.8,63.5
OBS-0064,2025-04-09,Plain Tiger,Insects,Parks & Gardens,OBS008,18.516161,73.974642,3,7,Spring,38.3,54.3,56.9
OBS-0065,2025-11-19,Honey Bee,Insects,Roadside Trees,OBS009,18.397609,73.931056,1,2,Autumn,46.2,83.4,75.2
OBS-0066,2025-10-14,Indian Palm Squirrel,Mammals,Urban Forest Patches,OBS010,18.471484,73.898076,2,2,Autumn,92.7,29.1,80.4
OBS-0067,2025-09-13,Garden Lizard,Reptiles,Urban Forest Patches,OBS011,18.465083,73.941303,0,2,Monsoon,66.0,37.3,75.9
OBS-0068,2025-02-13,Neem,Plants,Urban Forest Patches,OBS012,18.483122,73.88881,0,4,Winter,61.1,53.9,82.9
OBS-0069,2025-05-31,Hibiscus,Plants,Residential Areas,OBS013,18.442498,73.792574,4,7,Summer,54.3,7.9,73.4
OBS-0070,2025-06-23,Asian Koel,Birds,Residential Areas,OBS014,18.52977,73.827085,1,7,Summer,77.8,56.8,83.7
OBS-0071,2025-04-26,Dragonfly,Insects,Lakes & Water Bodies,OBS015,18.464733,73.938512,0,5,Spring,73.2,33.9,77.6
OBS-0072,2025-09-26,Pond Heron,Birds,Urban Forest Patches,OBS016,18.484118,73.911943,4,6,Monsoon,66.7,69.0,68.8
OBS-0073,2025-11-02,House Sparrow,Birds,Urban Forest Patches,OBS017,18.509951,73.939691,4,1,Autumn,52.1,31.7,62.6
OBS-0074,2025-04-25,Common Myna,Birds,Parks & Gardens,OBS018,18.397587,73.861542,2,10,Spring,87.2,34.8,61.8
OBS-0075,2025-08-08,Purple Sunbird,Birds,Roadside Trees,OBS019,18.412387,73.716951,2,11,Monsoon,95.7,66.8,68.7
OBS-0076,2025-09-08,Plain Tiger,Insects,Urban Forest Patches,OBS020,18.409757,73.863647,4,8,Monsoon,35.7,21.7,78.1
OBS-0077,2025-03-01,Honey Bee,Insects,Residential Areas,OBS021,18.449023,73.92938,4,11,Spring,68.9,72.1,98.6
OBS-0078,2025-02-21,Indian Palm Squirrel,Mammals,Lakes & Water Bodies,OBS022,18.543172,73.855661,1,1,Winter,81.1,39.7,75.7
OBS-0079,2025-02-24,Garden Lizard,Reptiles,Residential Areas,OBS023,18.43765,73.855329,4,1,Winter,49.2,28.4,76.6
OBS-0080,2025-08-03,Neem,Plants,Residential Areas,OBS024,18.372258,73.836739,1,3,Monsoon,86.5,56.0,83.6
OBS-0081,2025-09-02,Hibiscus,Plants,Parks & Gardens,OBS025,18.472837,73.891186,3,5,Monsoon,67.9,32.1,92.2
OBS-0082,2025-06-26,Asian Koel,Birds,Lakes & Water Bodies,OBS026,18.493339,73.991929,1,6,Summer,90.5,52.0,92.4
OBS-0083,2025-05-05,Dragonfly,Insects,Parks & Gardens,OBS027,18.440004,73.876113,4,11,Summer,73.5,19.2,69.9
OBS-0084,2025-03-11,Pond Heron,Birds,Lakes & Water Bodies,OBS028,18.472816,73.84409,3,5,Spring,53.8,52.9,55.3
OBS-0085,2025-04-12,House Sparrow,Birds,Parks & Gardens,OBS001,18.439514,73.890441,3,11,Spring,72.8,43.2,88.5
OBS-0086,2025-11-26,Common Myna,Birds,Lakes & Water Bodies,OBS002,18.371554,73.816401,3,9,Autumn,87.9,14.1,87.2
OBS-0087,2025-06-10,Purple Sunbird,Birds,Urban Forest Patches,OBS003,18.442314,73.89295,2,11,Summer,95.1,28.1,87.3
OBS-0088,2025-10-01,Plain Tiger,Insects,Residential Areas,OBS004,18.460924,73.789153,1,1,Autumn,82.4,44.2,98.4
OBS-0089,2025-06-19,Honey Bee,Insects,Roadside Trees,OBS005,18.400127,73.908348,0,9,Summer,40.2,49.4,90.3
OBS-0090,2025-12-04,Indian Palm Squirrel,Mammals,Lakes & Water Bodies,OBS006,18.514332,73.904645,0,5,Winter,38.0,13.7,84.7
OBS-0091,2025-09-18,Garden Lizard,Reptiles,Urban Forest Patches,OBS007,18.500084,73.835637,3,9,Monsoon,83.9,8.9,65.3
OBS-0092,2025-08-15,Neem,Plants,Urban Forest Patches,OBS008,18.460171,73.881766,4,6,Monsoon,76.3,7.4,72.7
OBS-0093,2025-11-23,Hibiscus,Plants,Parks & Gardens,OBS009,18.541319,73.822768,2,10,Autumn,56.2,73.3,68.2
OBS-0094,2025-08-04,Asian Koel,Birds,Parks & Gardens,OBS010,18.466028,73.864258,2,10,Monsoon,46.4,11.8,70.0
OBS-0095,2025-09-19,Dragonfly,Insects,Residential Areas,OBS011,18.511464,73.992898,3,4,Monsoon,59.9,15.9,80.3
OBS-0096,2025-12-31,Pond Heron,Birds,Roadside Trees,OBS012,18.422815,73.784813,0,5,Winter,90.8,44.8,60.9
